text	label	prediction
还行 还差3个字	正面	正面
还行，算得上近期比较不错的电影了	正面	正面
难得的佳作，有剧情，有搞笑，有感动。没有硬来的感觉，很值得一看	正面	正面
这家店其实最让我惊喜的是服务，虽然是遇到点小问题，但是工作人员一直道歉并帮忙解决，真的是客户至上啊。	正面	正面
剧情很好，幽默搞笑还有刀，很感人	正面	正面
好看好看的的	正面	正面
感动，好笑，好看	正面	正面
真的好看，喜剧的外壳，立意却深刻👍🏻	正面	正面
还可以，挺感人	正面	正面
剧情看似很沉重，但是通过以喜剧性的表达方式，感觉没有被代入感。画面还是很壮观，很好看的，可以感受到中国的电影工业水平也是与时俱进，世界进入中国科幻时代。	正面	正面
沈腾真的太搞笑了，出场笑点就来了	正面	正面
不错，带孩子去的。	正面	正面
小时候就有小行星撞击地球的幻想，算是圆满了。	正面	正面
说实话真的一般，如果不是沈腾马丽就更差了	负面	负面
不好看。没有亮点	负面	负面
🌟 推荐 很不错  😊 演技	负面	正面
棒极了，沈马组合从来就不会让你失望。	正面	正面
挺棒的电影，电影院笑声一片!感动的地方也有!	正面	正面
马丽真的好好看、全程笑点、后面结局也可以接受	正面	正面
去看之前看网上评价都很好，期待值蛮高的 但看了之后觉得也就还行，没想象中好看。 笑点挺密的，之前看评论有人说笑到肚子疼。。。 我本人是觉得没有特别特别搞笑的点，结尾也一般，有些台词倒是挺好。 不抱太高期望值还是蛮推荐的，毕竟喜剧带给人快乐。	正面	正面
还可以，正常水平	正面	正面
有笑有泪，普通人也可以成为英雄	正面	正面
超级好看！都给我去看！！！！	正面	正面
袋鼠那里我尬出了三室一厅，看不到一点主线，单纯为了搞笑而搞笑，后面还强行煽情，以为这样子可以升华主题？而且整个剧情就不科学，也就14岁以下的看得有味，但凡上完初中的都不能理解种种设定，把观众当傻子了，整就是一个快餐电影，看完也没有值得感悟和值得回味的地方，去看了浪费钱和时间。	负面	负面
太搞笑了，加油	正面	正面
超级好看，好喜欢沈腾马丽	正面	正面
以为是大团圆结局，结果是悲剧英雄结局，搞笑之余又有深度，值得一看	正面	正面
剧情很精彩，画面也很壮美，结局很感人，演技也到位，值得推荐！	正面	正面
剧情总体很完整，也很搞笑，一如既往的支持沈腾	正面	正面
好看，搞笑又有点感动	正面	正面
挺好看的 爆笑	正面	正面
电影挺好看的，沈马演技都在线，喜欢	正面	正面
名留影史 挑不出什么毛病	正面	负面
剧情跌宕起伏值得一看	正面	正面
有哭有笑，开心，哈哈哈	正面	正面
非常好看👍	正面	正面
Wonderful movie, you will laugh, cry and hope	正面	正面
剧情丰满，不亏是腾哥，电影太好看了。	正面	正面
好看🔴🔴	正面	正面
很好，很不错！	正面	正面
还不错，笑中有泪点	正面	正面
剧情真的很不错 画面很震撼	正面	正面
喜剧之王，给力	正面	正面
好看，后面真的很感人	正面	正面
有点荒诞~笑点不算太多！	正面	正面
挺好看的，值得看	正面	正面
9分只因悲伤结尾！！！！！！！	正面	正面
可以看哦好好	正面	正面
搞笑也不搞笑，也不科幻，最后强行煽情，唉！	负面	负面
一般般，很尴尬	负面	负面
值得一看 开心笑到哈哈	正面	正面
喜欢演员，自然也就感觉影片好看。	正面	正面
太棒了.很久没看这么好看的电影了。	正面	正面
值得一看！也看着苦笑不得	正面	正面
笑着笑着就哭了！！	正面	正面
好看！感动呜呜呜呜	正面	正面
可以的还行的	正面	正面
啥都挺好就是主角结局不是很完美🥹🥹🥹	正面	正面
很少黑五星，但是这个影片是真的顶，作为一个喜剧，少有的做到了笑点不尬，而且全员演技很到位，画面做的也很美，笑的很大声，最后也会热泪盈眶，在目前这个什么人都能做喜剧得市场，这样一部影片无论从体验，画面，立意上来看都是少有的高质量影片，如果有时间的话真的值得一看	正面	正面
好看看好看看	负面	正面
还好吧了的哦	正面	正面
剧情一般，特效还行，也就是冲着沈腾马丽才去看的，看看还行吧。	正面	正面
真的无聊死...睡着了...	负面	负面
喜剧与感动同在	正面	正面
有演技有泪点	正面	正面
能让你笑几次，对得起这个票钱了。不要想着谈论逻辑，合理性之类的	正面	正面
剧情很好，沈腾马丽对戏，反转多，有搞笑有深情，同时也很激励人心！值得推荐！冲冲冲！	正面	正面
期望越高失望越大吧	负面	负面
棒极了，挺好看	正面	正面
感人的故事真的很不错	正面	正面
不俗套，也搞笑，不错不错	正面	正面
幽默，感人，值得一看	正面	正面
应该春节档的贺岁片才对。	正面	正面
含腾量可以，剧情好玩，带女朋友去看很不错	正面	正面
很不错，值得一看。	正面	正面
棒极了有笑点有泪点	正面	正面
电影很细腻的刻画出了男主角内心的矛盾和挣扎。救不救金刚鼠？救不救众生？救，就要牺牲自我。生活中有一种人，普普通通是他的人设，碌碌无为是他的日常，然而关键时刻，他会挺身而出，逆向而行。内心光明的人总会给他人带来深深感动，电影唯一的缺憾就是核弹的设定，那个锤子太小了，重量感力量感不强。	正面	正面
喜欢看沈腾和马丽演的，好看滑稽幽默搞笑	正面	正面
还不错的呢~~~~	正面	正面
挺好看的，沈腾搞笑是认真的	正面	正面
逻辑性差点，感觉质量不如往年，带孩子乐一下倒不错	负面	正面
剧情不错画面不错强烈推荐	正面	正面
一般般也就那样	正面	负面
剧情一般，太单一了。主要是玩梗，有些梗搞笑，但整体一般	负面	负面
很有意思，但是整体套路有点老套，喜剧开头，悲剧结尾	正面	正面
可能是看过漫画了吧，期待值还好。 不过影院我要给差评，太！热！了！！！	负面	正面
剧情整体还是蛮不错的，有笑点也有泪点，值得一看，唯一就是后面的情节有点太不符合科学了哈哈哈哈 😂	正面	正面
一般真的很一般	正面	负面
好看，喜欢开心麻花。	正面	正面
哎。。。。咋说呢？看预告片吧，搞笑的都在那	负面	负面
电影超好看，沈叔叔的演技超级好，就是最后彩蛋人都走完了😃😂	负面	正面
太好看了啊 一定要去看 笑着笑着就哭了 哭着哭着就笑了 好久没看到这么好看的电影了 上一次还是在上一次	正面	正面
非常好！既搞笑又感动	负面	正面
比较好笑 有点动人	正面	正面
您明明哦明明哦	正面	正面
咱就是说，这个导演导得也不行啊，一般般，没有特别惊艳，令人吐槽	负面	负面
好想去看看这个节目就是	正面	正面
就是一般啊 没觉得有多搞笑  而且就是无厘头罢了  看纯纯是因为沈腾	负面	负面
好看真的推荐	正面	正面
开心麻花出品就是精品，沈马组合就没让人失望过。笑中有泪，展现普通平凡人也有高光的一面。好作品。	正面	正面
非常好，今年最好看的一部	正面	正面
没有这个杀手不太冷静好看	正面	负面
很喜欢，欢乐的背后满是正能量，结局让人泪目。	正面	正面
孩子喜欢很高兴	正面	正面
画面剧情非常好，十分感动，前面中间笑点不断，人生的哲理也许多，有许多意想不到的小惊喜，有喜有感人，总之一句话，沈腾出品，必属精品 🌟 推荐  😊 演技  😭 哭点	正面	正面
独行月球果然不虚此行，虽然人比较多，但架不住美呀，全程惊喜连连真的超级满意，根据推荐来的，省了自己慢慢做功课的时间，省时又省力，赞赞赞(˘͈ᵕ ˘͈❀)	正面	正面
一般，也就一般	负面	负面
很棒，看起来不错	正面	正面
还好。有负评分。	负面	正面
很好看，沈腾的作品支持	正面	正面
依旧是没有逃脱爆米花喜剧片的步伐。喜剧元素中规中矩带有麻花的特点。影片剧情升华的铺垫不够，观众共情不足。特效层面进步明显	负面	正面
很好，，比较搞笑	正面	正面
刚刚看完，抄袭嫌疑太大，绝世天劫和火星救援痕迹太重，开心麻花已然跟不上大众的需求了	负面	负面
去去去收拾收拾	正面	正面
不错，推荐，前面搞笑，后面催泪。	正面	正面
沈腾新时代喜剧之王	正面	正面
感人虽然结局是be，2022最喜欢的一部	正面	正面
不要找bug，就图一乐，挺爽！	正面	正面
笑点很多，没想到最后煽情了一把，还是值得一看的	正面	正面
还好。虽然尬点不少，但是总体还可以。	正面	正面
比较搞笑。。	正面	正面
缝合怪 不好看	负面	负面
不错 碰到了个女朋友	正面	正面
好好地演的喜剧片是赚不了钱？非要联系个爱情这些东西？衔接的贼尴尬	负面	负面
好好尴尬两次	正面	负面
开心麻花的老套路了，感觉都审美疲劳了	负面	负面
很不错的一部电影，不愧是沈马组合，期待更好的作品	正面	正面
非常不错呦。。。。	正面	正面
好看，值得去看。	正面	正面
真的超级好看！又好哭又好笑，我要二刷！	正面	正面
带上孩子去看挺好的，推荐。	正面	正面
……还hao ba	正面	正面
可能期待太高，看下来还行。	正面	正面
非常搞笑，值得去看一下，带着家人	正面	正面
很好很好好，喜剧看着看着竟然哭了	正面	正面
挺好看的，幽默。	正面	正面
超级好看，所以看电影前千万不要看剧透，前期全是笑点，后面也有感动的点	正面	正面
还算可以吧！	正面	正面
又搞笑  又感动	正面	正面
很搞笑也很感动！最后不喜欢！沈叔叔牺牲了！	正面	正面
挺搞笑的 也有泪点	正面	正面
搞笑类电影！	正面	正面
全场太热，剧院太差，敷衍浮躁	负面	负面
太好看了。虽然很多点行不通，但是整体来说搞笑又催泪，加油加油	正面	正面
都给我去看😍 😍 😍 😍 😍   😂 笑点    很好笑很好笑很好笑很好笑主要是沈腾哥就好笑 🥚 彩蛋 结局虽然不完美但合理 彩蛋弥补了这个遗憾 🎉闪光点 全世界的英雄😭  🌟 推荐 都去看都去看都去看都去看都去看 😊 演技 全员演技在线😭   很好笑也很好哭	正面	正面
不给退票差评，卡时间不合理	负面	负面
很搞笑也很感动	正面	正面
搞笑又感人！！	正面	正面
CG做的不错，剧情一般。	正面	正面
前面还行、后面没意思	正面	正面
还不错，小朋友喜欢	正面	正面
好端端的沈氏喜剧，非常完美地诠释了喜剧的内核是悲剧这个道理。在短暂的时间内经历小人物的大喜大悲，也提出了值得思考的人生问题。虽然和流浪地球的大致情节很类似，但艺术造诣要高许多。对于人物绝境的刻画，也要更深刻。就只举一例，电影中袋鼠这个形象的存在，比流浪地球里俄国人的存在要更有艺术特色。但是一定要以科幻月球为背景，只会觉得剧情套作，内容大致似曾相识。而且单论科技元素，也不如流浪地球。这就使得沈氏喜剧的优势没有发挥出来，反而落入前人已经做过的窠臼。未来推出更好的作品的希望，仍然在于讲好小人物的故事，发掘人性的光芒，思考人生的问题。至于科幻领域，不论流浪地球算是珠玉在前还是怎样，以宇宙为背景的，开心麻花还是应该不主攻于此。	负面	正面
很好看，前面很搞笑后面很感人	正面	正面
一般般把，笑点不是很高，不值得去电影院看，等手机上可以看了再看比较划算！	正面	负面
非常好，说不好看的都水军	正面	正面
ok，等了很久没让我失望	正面	正面
这演的这啥呀是，有点尬…	正面	负面
我觉得很好看，有笑点有演技特效也不错	正面	正面
不错推荐去看	正面	正面
男朋友看哭了三次！非逼着我来评个满分 确实被感动了，人类也太渺小了，宇宙这么大，一天到晚烦恼个啥！	正面	正面
很好，推荐！	正面	正面
快去看。奈何本人没文化，一句WO cao走天下 。真好看	正面	正面
科幻，喜剧，情怀，都很勉强。	负面	正面
又搞笑有感动，一直喜欢开心麻花的电影，希望越做越好	正面	正面
好看，有喜也有悲，虽然有的镜头有点扯，但是整体还不错，推荐	正面	正面
很好看  真的很棒	正面	正面
有一点点尬。	正面	负面
好看，励志又感人🌹🌹🌹	正面	正面
确实可以 还不错	正面	正面
悲剧，喜剧l	正面	正面
#藤井树观影团感谢主办方本次上海首场观影活动，由开心麻花沈马组合主演`张吃鱼导演的一部展现极致孤独又史诗级浪漫的科幻喜剧片。影片多处笑点与感动交揉一并恰适其氛的插曲与月球特效场景颗粒感般的极佳视听效果感染着观影者，着重刻画了独孤月与金刚鼠奋力回归过程经历的关系升温和情感表达，同时与倾注身心于马蓝星深深浓浓爱情以及拯救地球奉赴生命的大爱情怀极尽丰富传达着悠长而深远的浪漫。这不仅仅是一部电影，它是带你穿梭浩瀚`乘风落叶变成流星坠入你心中的光。	正面	正面
一般，看到一半睡着了	正面	负面
真难看，很失望啊	负面	负面
中规中矩的片子，实在没看的值得看一下打发时间，剧情节奏把控得很好	正面	正面
good！！含腾量高	正面	正面
电影很好看，隔两座，也算是一种态度	正面	正面
算是沈腾最差的电影了可能	负面	负面
韩国料理**默默章鱼小丸子	正面	负面
还行吧………	正面	正面
确实不错，娃儿四岁都看哭了……	正面	正面
电影的特效真的震惊我了，还有几位主演情感传递交流都很不错，值得去看一看。笑点是一触即破的那种很好看，已经二刷了	正面	正面
很搞笑的哈哈	正面	正面
沈某人发挥稳定	正面	正面
前面挺搞笑的	正面	正面
带5岁儿子去的，不该带孩子去看，坐不住。	正面	正面
特效很好看，还比较推荐	正面	正面
中国科幻电影的里程碑，相比《流浪地球》剧本更加流畅，节奏更加丝滑，人物更加深刻，情感更加自然，画面更加唯美。是一部有笑有泪，有血有肉，热血澎湃的好作品。一切都那么荒诞又合理，贡献了多个精彩的名场面，值得囊括一批技术类奖项。沈腾的演技也是无可挑剔，甚至有几处觉得是真的帅！怀着激动的心情看完电影，观感太棒了！ 🎉闪光点  😭 哭点  🌅 画面  😊 演技  🌟 推荐	正面	正面
值得去看，不错不错。	正面	正面
沈马真甜！电影太棒了。	正面	正面
😊 演技 沈腾是实力派演技派，完美	正面	正面
哈哈哈好搞笑啊	正面	正面
真的爱死了，前面笑死，后面哭死，有人说有点夸张，但是我觉得正正好啊救命，这样才好玩啊哈哈哈，当然有些特效有点假是真的，但一点也不影响观影，最后表白沈腾叔叔，太帅了！！！！！不愧是军艺（前）校草！！	正面	正面
我看过最精彩的中国人拯救地球电影，打破之前那些美国树立的“英雄”救地球，很好👍🏻	正面	正面
推荐观看，赞	正面	正面
还可以，笑点比较突出。但整体没有预想的好，可能期望太高了。	正面	正面
一般 情节不是很丰富	负面	正面
