评分	评论
1	还可以吧可以
1	剧情很好！！！！
1	超级好看 沈腾的电影好看没的说
1	科学的一些细节真是用心了
1	结局温馨，有名的配角太多了，有个女演员涉及日本的那个为啥不删除戏份。
1	剧情难得的好编剧，笑点密集，麻花精品！画面精彩，宇宙的浩瀚美丽和人物的独特魅力相映成趣！！年度必看！！！ 沈腾出品，必属精品，神马组合，横扫六和！ 在度假中又邂逅了独行月球这样的精品电影，已经完全超出了喜剧电影的范畴，也是中国宇宙科幻体裁的新纪元。目前中国电影看名字必有保证的也就沈腾和吴京了，在电影里俩人都死了，或许中国科幻电影崛起就是需要电影人出死力吧！！！加油，中国电影！！！ 😂 笑点  🌅 画面  📚 剧本
1	好的吧 好的吧
1	带对象一起看的，很好看，网上有不好的评论，但是个人感觉还不错，不要太较真，热热闹闹开开心心的就挺好。很好看，推荐。袋鼠演技超棒。
1	空闲时间可以一看
1	《独行月球》暑期档的点映一播放，真正震撼了整个“地球”！独孤月一不小心被意外的遗落在了月球上，以及偶遇了同样与自己同病相怜的落下的一只金刚袋鼠；在月球上与袋鼠从敌人变成朋友一起克服困难了共度难关；一直以来对马蓝星的暗恋无意间在直播中吐露了心声，以及独孤月最后的正能量深深影响了大家的认可和鼓舞！要看就看imax的！
1	🎉闪光点:袋鼠拉车绝绝子！！！
1	非常好看啊！我觉得那些差评不知道是哪来的，我个人感觉很好看就是了
1	特别搞笑 感动很好看
1	很好看，也很感人。
1	细节拉满，故事情节起伏大，值得观看，前一秒你在哭，后一秒让你笑，推荐 😊 演技  🌅 画面  😂 笑点  😭 哭点
1	喜剧效果很棒！ 值得一看的喜剧片！ 沈腾果然是票房保障！ 强烈推荐
1	不错的题材电影 喜欢💕演员 继续加油 小盆友可以多多看 好看好看
1	继流浪地球之后的又一部科幻佳作
1	拍的非常好，前面的搞笑到后面的感动都很好，赞
1	还是沈腾的喜剧好看，两小时很充实，最后和朋友哭唧唧，我俩都没带纸😂
1	关于《独行月球》这部电影，喜剧型的一面体现的较少更多的励志鼓舞，并且该电影有一点喜头悲尾的局势，脱离了传统的喜头喜尾，没有了大团圆式的结尾了 📚 剧本
1	剧情不错    笑点密集   泪点也不突兀
1	披着喜剧的外衣，一个喜剧人不想演喜剧，电影的尽头是悲情。
1	非常喜欢这个剧
1	还不错，推荐去看
1	绝绝子啊，特别好看
1	挺不错的，开始搞笑，后面感动
1	有欢乐，有感动，在真正的大义面前，每一个小小的人物都有大大的价值
1	整体还行，，
1	故事搞笑因素都很齐全
1	真的好好笑，作为喜剧又有悲剧的内核，但是又是好笑的，沈腾马丽yyds 🌟 推荐  😊 演技  😭 哭点  😂 笑点
1	真的很好啊，要笑点有笑点，要泪点都快哭死了，滕叔叔就很会挑剧本！！！爱了爱了
1	太好看咯笑死我了！特别搞笑，笑的我肚子痛
1	非常搞笑的一部喜剧片
1	剧情不错呢，哭了三次笑了无数次
0	确实一般。黔驴技穷。故技重施。没有新颖。才疏学浅。想不出词汇了
1	挺好看的  巨搞笑
0	还可以特效一般剧情很有教育意义
1	喜剧，所以就算有悲伤的事儿，也不会感动
1	很好，强烈推荐
1	被朋友种草来的，今天第一次来，果然跟朋友描述的一样，非常赞！
1	剧情很好，搞笑，很感动
1	好好好看哇，超稀饭感人
1	很好看，极力推荐 🎉闪光点
1	前期很喜剧，结尾很感人
0	挺拉的，不推荐，白花钱
1	很搞笑，也很精彩，强力推荐
1	不知道说，二刷，依旧震撼
1	闺女和同学去看的，说是挺好的
0	剧情一般，搞笑一般，都看睡了
1	搞笑，感觉还行
1	推荐看这部电影  感觉不错
1	沈腾表演松弛有度，既搞笑又有情怀，有煽情部分，和袋鼠，和马丽之间的部分比较高潮
0	真难看，很失望啊
0	说是科幻片，有点勉强，科幻大场面太少，感觉就是在一个屋子里就拍完了，既然是科幻就得有特效刺激，都是慢动作
1	剧情不错，搞笑中又赚了一把泪。
1	感人的一面，自己看的时候还是挺爽的
1	还不错好看！
1	还不错 不过不是我特别喜欢的
1	不要听那些影评人瞎黑，很多都是收了钱。好不好看观众自己不知道吗
1	画质不错 ，独孤月死了很可惜。
0	我觉得不是很好看
1	我错了，早该想到的，沈腾的喜剧不可能是纯喜剧(T＿T)
1	搞笑一如既往、也是一如既往的停留在前半段。后半段情感路线，缺少必要的喜剧元素，甚至有人看睡着了……
1	很好看  孩子喜欢的不得了 真的是让我们笑抽了 感动的流泪了 沈腾演得也非常棒
1	有笑点也有泪点 不愧是沈马组合 很好看
1	很好看很喜欢这个电影
1	在沉闷的日子里还有有腾妹，疫情下也别放弃生活的希望。神马组合yyds
1	好看好看有沈腾错不了！科技元素满满！
1	全程爆笑，虽然最后是英雄主义be美学，但是沈腾马丽cp演技在线，真的很不戳！
1	笑点多，故事有起伏，用的来说还可以。
1	只能说水准之上
1	巨好看，这部电影不看会后悔
1	还可以…貌似科幻
1	含腾量很高！金刚鼠妥妥的顶流
1	可以还不错可以看
1	前段挺搞笑的
1	搞笑，和励志
1	好哈哈爱吃哈哈哈
0	演的太没意思了都看困了
1	剧情紧凑，演员演技在线
1	影片很好看！
1	特别好的一部剧
1	剧情有笑点，有泪点 台词前后还有衔接 配乐简直完美 开心麻花yyds!
1	挺好看，结局很意外。
1	值得一看，画面感很好
1	看了这个电影很搞笑，很幽默，很感动，那个袋鼠🦘和沈腾。
1	前面剧情挺搞笑的，后面的剧情令人意想不到，还是挺好看的
1	非常不错，有笑有泪
1	不孬，真的很好看！
1	喜剧中有悲剧 才是真正的喜剧 能让你笑也能让你哭
1	他俩演技是真好，有些地方真的可以带入了。原以为是取的联系了，满心的欢喜缺只是偶然，该是怎样的不可言说
1	挺好看，飞向宇宙
1	还是一如既往的搞笑
0	之前对此电影抱有很大的希望，结果看到一半就走了，很失望😞😞😞
1	可爱的刚子🦘，含腾量很高，很腾式喜剧，👍
1	最后那个强行催泪属实多余
1	挺好，继续看起
1	很好看，腾哥太搞笑了
1	冲着沈腾马丽去的!真的好看!
1	好看……..
1	好看推荐哟。
1	“马蓝星，带我回家”
1	电影情节还可以
1	还可以，剧情有趣
1	画质，特效都很棒，就是有几个剧情过的太快了
1	剧情精彩，诙谐中富有哲理，沈腾马丽依旧合拍，是值得看到的一部片子
1	人性，英雄，人类的命运。化作眼泪
1	好笑，震撼，感动
1	搞笑这块儿，沈腾老师绝对是非常出彩的，整体剧情有点像流浪地球，不过重点不一样，以爱情为主线，再配合拯救地球，尤其是最后大义凛然，舍身救地球，还是让人非常泪目的，大体讲述了一个干啥啥不成的人，经历各种挫折，面对自身安全和大义的考验，实现了自身价值观的转变，搞笑中充满着满满正能量! 值得一看✌️
0	不伦不类，强干， 喜剧不喜，科幻不沾边，爱情不接地气，可惜了一个好的题材
1	还行，可以一看
1	能够震撼到我起鸡皮疙瘩的国产电影真的难得，好几个地方史诗感爆炸，笑点也很足，虽然电影还有不足，有些地方有些拖沓，剧情比较碎片化，但我想说，这样的电影都有人给一星，请你们笑点高的人别看喜剧片了行不！
1	刚子，你不厚道 😊 演技
0	你说他喜剧吧，没有那么好笑，你说他科幻吧又达不到流浪地球的程度，而且我觉得喜剧和科幻并不搭配，没有达到理想的程度！
1	搞笑中又带着孤独，总的来说挺好看的，
1	太棒👍，挺搞笑的，但是看到最后感动得流眼泪，今天的我们能健康平安的生活在地球，不是那么容易。
1	开心麻花的谐音梗
1	原以为是个搞笑片，结果笑中又夹杂泪，让人回味悠长，值得观看！
1	腾哥演技一流，是个英雄，为了人类牺牲自己，大无畏，金刚鼠真有趣，又刚又硬马丽演技一流
1	好看好看！有笑点有泪点
1	独行在月球，心却系地球。家园有堪忧，命情皆可丢！
1	我更喜欢我看的上一部喜剧。这个杀手不太冷静。杀手里面的笑点是时时刻刻，猝不及防的朝你涌来，而独行月球，你需要认真去寻找笑点，而且你会发现电影院里面大家笑点七零八落，不太同步
1	挺好的，搞笑包袱不断，结尾也很感动。虽然故事不够新，但是冲着人去的，没有很失望。挺好的
1	刚子，快找个母袋鼠然后生一群袋鼠…
0	一般，剧情，笑点，都不是太进人意！
1	期待值过高。
0	幽灵场，从此脱粉，支持明日战记
1	很值得一看！！
1	这样不错 哈哈
1	很好的电影，有笑点，有温情。让人忘记烦恼，让人感动！
0	真不咋滴，逻辑性一塌糊涂，特别假，笑点也不多，还是觉得沈腾之前演的电影好一些。虽然最后有些感人，但是由于影片逻辑性弱，也就不觉得感动了，太假
1	挺好看的 挺精彩
1	又是元气满满的一天啊～哈哈哈真的笑疯了
1	超级好看！冲冲冲
0	真实的观感：2个小时大概前前后后瞌睡了30分钟。剧情简单，笑点硬生生的拼凑，一到叙事就百般无聊犯困，开心麻花一贯的舞台小品风格，搬到大银幕，剧情的连贯性和时间明显靠靠小品来填补
1	独行月球 我觉得袋鼠  有点像
1	好看不错，，
1	演技都不错，就是剧情比较普通了，笑点有点少
1	正常水平的喜剧
1	好可以，很搞笑
1	在电影中，独孤月对马蓝星的爱贯穿整部电影，独孤月因为爱所以被落在了月球上，因为爱所以建好了返回舱，最后也因为爱而带着宇宙之锤撞向陨石。一些画面也会让人忍俊不禁，比如说你不是个人。
1	笑点挺足，看得挺爽，结局很OK。
1	好看，画面强，能激励人
1	当喜剧看的😭得稀里哗啦
1	很感人，故事情节也很励志。
1	挺好看的，很逗乐。
1	沈腾校草的演技必须给满分
1	很不错，有欢笑有泪水，也不是那么无厘头，也不是那么自我英雄化，挺好的，推荐
1	沈腾黄子韬笑死我了
1	都还不错值得看
1	一如既往的不错 一如既往的好评不断
1	没有想象的那么好
1	结尾有点牵强
1	好看，特别喜欢袋鼠，很搞笑
1	看了两个多小时，贼舒服
1	非常搞笑，感人
0	前面三颗星，加上我喜欢沈叔叔，三星半 ​后面一颗星，真真如坐针毡如鲠在喉如芒刺背。 ​讨厌强行升华和煽情，现在已经找不到单纯好笑的喜剧片了么[叹气]
1	很好看，搞笑极了
1	还可以，看个乐，但对比夏洛特差远，画面很美但没有什么梗流传
1	笑到肚子疼。
1	喜欢 强烈推荐
1	好看的很真的
1	非常不错值得一看
1	不错哦很好看
1	电影挺好看的 又哭又笑。就是电影院不怎么样，卡了两次，还很热看完满头大汗
1	好看好看很搞笑
1	可能我对开心麻花滤镜很厚 我真的就觉得很好看啊[流泪]搞笑的地方搞笑 燃的地方够燃 最后也赚足我眼泪了[流泪] 🌟 推荐
1	非常完美。万达电影院一直很细心
1	画面挺好的、沈腾的剧都好看、搞笑、煽情
1	剧情很好，很喜欢他们俩的戏，袋鼠太可爱了吧，唯一的就是be
1	剧情贼好，鸡皮疙瘩就没下来过，画质也OK，看到了星河灿烂，
1	挺好的，好笑
1	非常好看咯嘛
1	不具体展开了，总之是一次不错的🍴用餐体验，有机会还会再来
1	还挺好看的，很不错
1	果然是宇宙级浪漫～真心觉得这电影拍的不错，延续了喜剧风格的同时，那情节中又触动人心，揪了一把冷汗，随着剧情沉浮，推荐！
1	剧情很好，好看的
1	很好看很搞笑，结尾有点感人
1	不错，后面有点是悲剧
1	可以值得观看
1	挺好的，喜欢看
1	挺好的。..
1	含腾量很高，还不错，可以看。
1	满分💯，良心制作
1	剧情紧张感人，节奏快，但笑点多，沈腾出演量大管饱！！！
1	超级棒  沈叔叔不愧是沈叔叔
1	麻花出品，必是精品
0	一般般吧，就喜欢那个袋鼠大哥
1	过程很搞笑！结局有点感人
1	棒极了，腾哥超帅的马丽超美得，还有袋鼠演员演的非常好
1	腾哥马丽经典组合就是厉害👍🏻
0	总体来说一般般吧
1	挺好的，中国电影在进步，
1	幽默诙谐中感人！
1	“马蓝星  带我回家”
